year;crime_per_citizen
2001;0.012975931861799362
2002;0.014290541136838707
2003;0.016085524412000795
2004;0.019196857212784517
2005;0.017853833477753458
2006;0.015621818327184962
2007;0.01396116163448841
2008;0.013306714928074332
2009;0.013910591057618793
2010;0.012659322521783497
2011;0.012444135002684462
2012;0.012530249014536655
2013;0.0127375701537154
2014;0.011268608753660163
2015;0.009770962974154895
2016;0.009447775169948073
2017;0.009330853845350838
2018;0.008651890495041344
2019;0.008657248948252575
2020;0.007627311288130511
2021;0.007513090334139369
2022;0.008286205744409657
2023;0.00726976316175265
2024;0.006702161230942418
2025;0.006274328391306399
2026;0.00584782606873008
2027;0.0054226480661883625
2028;0.004998788225080899
2029;0.004576240424934736
2030;0.004154998583109721
2031;0.0037350566545066213
2032;0.0033164086312779603
2033;0.002899048542541512
2034;0.00248297045409643
2035;0.0020681684681419987
2036;0.0016546367229989666
2037;0.0012423693928334317
2038;0.0008313606873832588
2039;0.00042160485168713316
2040;1.3096165815405663e-05
