year;crime_per_citizen
2001;0.030176086569146783
2002;0.03636099883948937
2003;0.03517582074969948
2004;0.041313721445539416
2005;0.038964782118241045
2006;0.04057664321396021
2007;0.04146680854546943
2008;0.03963975360781604
2009;0.03854628026709234
2010;0.033032388187425835
2011;0.03190901791646676
2012;0.030056375085280782
2013;0.02783240078915877
2014;0.02440947778753517
2015;0.022335809300034107
2016;0.02067481757055704
2017;0.01778783660450066
2018;0.016635890345331552
2019;0.015030048148723402
2020;0.01420924516708418
2021;0.012191279980765883
2022;0.012111976056125321
